,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
430,DeviceInfo,0,4,3,33,41,16.2
431,TransactionAmt_decimal,0,114,179,45,191,105.8
432,TransactionAmt_Log,21,160,230,108,411,186.0
433,Transaction_day_of_week,0,0,0,9,17,5.2
434,Transaction_hour,31,219,385,113,680,285.6
435,D2_count_full,13,149,209,139,327,167.4
436,C13_count_full,73,219,297,182,565,267.2
437,card5_count_full,10,76,89,59,122,71.2
438,P_emaildomain_count_full,11,208,286,64,396,193.0
439,D15_count_full,22,122,93,33,160,86.0
440,TransactionAmt_count_full,85,250,377,191,630,306.6
441,addr1_count_full,6,220,331,166,530,250.6
442,card1_count_full,45,337,463,221,799,373.0
443,card2_count_full,12,345,374,123,762,323.2
444,D10_count_full,36,229,207,135,399,201.2
445,dist1_count_full,0,89,75,31,151,69.2
446,D4_count_full,72,241,114,19,107,110.6
447,id_02__id_20,0,7,12,22,75,23.2
448,id_02__D8,0,3,2,12,44,12.2
449,D11__DeviceInfo,2,110,104,58,119,78.6
450,DeviceInfo__P_emaildomain,23,91,111,58,202,97.0
451,P_emaildomain__C2,29,175,166,117,448,187.0
452,card2__dist1,26,134,234,181,484,211.8
453,card1__card5,56,279,393,163,871,352.4
454,card2__id_20,18,90,182,104,335,145.8
455,card5__P_emaildomain,32,217,304,161,568,256.4
456,addr1__card1,29,293,455,183,843,360.6
457,nulls,2,172,228,137,478,203.4
458,TransactionAmt_to_mean_card1,60,340,421,172,870,372.6
459,TransactionAmt_to_mean_card4,29,131,235,151,553,219.8
460,TransactionAmt_to_std_card1,52,528,628,254,1008,494.0
461,TransactionAmt_to_std_card4,30,105,256,156,555,220.4
462,id_02_to_mean_card1,9,16,50,28,83,37.2
463,id_02_to_mean_card4,3,15,26,23,60,25.4
464,id_02_to_std_card1,2,11,64,29,153,51.8
465,id_02_to_std_card4,4,14,21,10,69,23.6
466,D15_to_mean_card1,16,137,187,47,249,127.2
467,D15_to_mean_card4,4,161,166,32,179,108.4
468,D15_to_std_card1,12,247,203,118,296,175.2
469,D15_to_std_card4,5,107,92,26,125,71.0
470,D15_to_mean_addr1,9,137,135,46,265,118.4
471,D15_to_std_addr1,13,115,124,44,183,95.8
472,id_01_count_dist,2,4,13,3,9,6.2
473,id_31_count_dist,87,103,194,43,180,121.4
474,id_33_count_dist,0,2,73,10,36,24.2
475,id_36_count_dist,0,0,0,0,0,0.0
476,P_emaildomain_1,2,17,23,22,64,25.6
477,P_emaildomain_2,0,7,3,3,21,6.8
478,P_emaildomain_3,0,0,0,0,0,0.0
479,R_emaildomain_1,2,22,9,7,54,18.8
480,R_emaildomain_2,5,6,14,48,27,20.0
481,R_emaildomain_3,0,0,0,0,0,0.0
